spec,solution,target_gain_linear,target_ugbw_mhz,target_pm_deg,target_ibias_ma,output_gain_linear,output_gain_db,output_ugbw_mhz,output_pm_deg,output_ibias_ma,fom,gain_pass,ugbw_pass,pm_pass,ibias_pass,complete_pass,target_reached
956,1.0,223.0,18.0239711807019,75.0,5.523279116459226,325.960773,50.263307,30.779753,84.6224,4.46546,1.489238358189933,Yes,Yes,Yes,Yes,Yes,Yes
896,8.0,311.0,7.246954507357681,75.0,6.62321151267958,454.581197,53.152229,12.375437,84.6216,5.354596,1.4891788837941955,Yes,Yes,Yes,Yes,Yes,Yes
828,4.0,205.0,5.5864823376138615,75.0,4.46281001459901,299.643554,49.532099,9.539891,84.6216,3.608,1.4891786960758573,Yes,Yes,Yes,Yes,Yes,Yes
632,3.0,321.0,22.579044014938564,75.0,7.435097026531796,469.187804,53.426934,38.556792,84.6208,6.010819,1.489119199718526,Yes,Yes,Yes,Yes,Yes,Yes
700,7.0,309.0,4.9729399778574095,75.0,3.1305394117049863,451.648073,53.096003,8.491972,84.6208,2.530849,1.4891190846605205,Yes,Yes,Yes,Yes,Yes,Yes
572,10.0,211.0,13.57510103201516,75.0,6.122604440676772,308.400264,49.782295,23.180818,84.62,4.949622,1.4890597531685072,Yes,Yes,Yes,Yes,Yes,Yes
504,6.0,304.0,14.591706274273031,75.0,8.444181029252931,444.330238,52.954117,24.916771,84.62,6.826426,1.489059696048628,Yes,Yes,Yes,Yes,Yes,Yes
436,2.0,276.0,14.160554417160652,75.0,5.769871477249066,403.405085,52.114827,24.180537,84.62,4.664467,1.4890596433347296,Yes,Yes,Yes,Yes,Yes,Yes
240,1.0,279.0,20.020467373142875,75.0,0.358023380912005,407.781099,52.208542,34.186154,84.6192,0.289425,1.489000311953114,Yes,Yes,Yes,Yes,Yes,Yes
308,5.0,337.0,7.167282029518296,75.0,4.923280189386642,492.552797,53.849056,12.238566,84.6192,3.979965,1.4890002516193772,Yes,Yes,Yes,Yes,Yes,Yes
